TICKER,CUR_MKT_CAP
EUSA,401.7200012207031
EUSC,30.132999420166016
EVT,1782.7496337890625
EVV,1160.87255859375
EWA,1536.7769775390625
EWC,3594.55224609375
EWD,395.4397277832031
EWG,1262.0670166015625
EWH,709.6500244140625
EWI,199.66799926757812
EWJ,9248.1357421875
EWK,17.86400032043457
EWL,1328.3375244140625
EWM,227.30963134765625
EWMC,113.02200317382812
EWN,289.29925537109375
EWO,59.28104019165039
EWP,423.6719970703125
EWQ,813.427978515625
EWRE,123.33749389648438
EWS,553.583984375
EWSC,49.44239807128906
EWT,3257.814208984375
EWU,3125.350341796875
EWUS,45.841251373291016
EWW,702.468017578125
EWX,575.3798217773438
EWY,2735.94189453125
EWZ,5245.76025390625
EWZS,83.50899505615234
EXG,2463.357177734375
EXI,281.1839904785156
EYLD,91.21541595458984
