TICKER,NAME,CLASSIFICATION,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
AVT,Avnet Inc,U.S. Small-cap Value Common Stock,11.03,0.0315,-0.0959,0.159,0.0,4.45,21.18,0.4597
AVY,Avery Dennison Corp,U.S. Mid-cap Blend Common Stock,28.33,0.0382,-0.1936,0.2701,0.0011,4.27,37.3,0.0492
AWR,American States Water Co,U.S. Small-cap Growth Common Stock,38.37,0.1645,0.0481,0.2811,0.0,5.45,38.44,0.0549
AXP,American Express Co,U.S. Large-cap Blend Common Stock,21.02,0.0367,-0.0915,0.1661,0.0,3.71,30.41,0.5556
AZO,AutoZone Inc,U.S. Large-cap Blend Common Stock,33.09,0.1567,0.075,0.2389,0.0,17.56,51.12,0.714
AZZ,AZZ Inc,U.S. Small-cap Value Common Stock,15.13,0.2055,-0.0023,0.4138,0.0,6.17,35.53,0.4928
B,Barnes Group Inc,U.S. Small-cap Blend Common Stock,13.69,0.1195,-0.0272,0.2658,0.0,6.78,34.76,0.4724
BA,Boeing Co/The,U.S. Large-cap Blend Common Stock,49.95,-0.1531,-0.3337,0.0277,0.0,6.55,44.46,0.4458
BALL,Ball Corp,U.S. Mid-cap Blend Common Stock,25.27,0.1557,0.0374,0.2734,0.0,11.71,39.57,0.4381
BANF,BancFirst Corp,U.S. Small-cap Growth Common Stock,24.58,0.0531,-0.0835,0.1894,0.0,7.05,27.01,0.1623
BAX,Baxter International Inc,U.S. Mid-cap Blend Common Stock,15.15,0.0016,-0.0856,0.0895,0.0,5.78,19.74,0.6376
BBSI,Barrett Business Services Inc,U.S. Small-cap Value Common Stock,21.68,0.2087,0.0219,0.398,0.0,4.22,76.51,0.7742
BBWI,Bath & Body Works Inc,U.S. Mid-cap Blend Common Stock,9.62,0.0602,-0.2321,0.3516,0.0,1.8,25.1,0.2846
BBY,Best Buy Co Inc,U.S. Mid-cap Value Common Stock,13.95,0.1258,-0.1447,0.3969,0.0,3.36,124.88,0.0872
BC,Brunswick Corp/DE,U.S. Small-cap Value Common Stock,15.4,0.0927,-0.2642,0.45,0.0039,1.18,67.1,0.0944
BCO,Brink's Co/The,U.S. Small-cap Value Common Stock,23.76,-0.0047,-0.1803,0.1694,0.0,2.73,39.8,0.4308
BCPC,Balchem Corp,U.S. Small-cap Growth Common Stock,48.21,0.1762,0.0797,0.2728,0.0,14.6,69.92,0.64
BDX,Becton Dickinson & Co,U.S. Large-cap Growth Common Stock,25.71,0.0607,-0.022,0.1433,0.0,13.9,34.04,0.6238
BEN,Franklin Resources Inc,U.S. Mid-cap Blend Common Stock,7.93,0.1251,-0.0886,0.3393,0.0042,7.09,26.05,0.0526
BF/A,Brown-Forman Corp,U.S. Mid-cap Growth Common Stock,38.87,0.0976,-0.0097,0.2052,0.0,10.5,42.67,0.17
BF/B,Brown-Forman Corp,U.S. Mid-cap Growth Common Stock,38.16,0.1092,-0.0026,0.2212,0.0,10.99,43.0,0.0912
BFS,Saul Centers Inc,Real Estate REIT,21.95,0.0405,-0.05,0.1299,0.0,6.58,38.37,0.7669
BH,Biglari Holdings Inc,U.S. Small-cap Blend Common Stock,31.27,-0.1041,-0.2691,0.0632,0.0,5.21,50.98,0.6596
BHB,Bar Harbor Bankshares,U.S. Small-cap Blend Common Stock,10.6,0.0736,-0.0246,0.1712,0.0,3.48,17.82,0.348
