TICKER,CUR_MKT_CAP
BDX,71633.8822566
BECN,3563.4096948200004
BEEM,145.5261171
BEN,12234.66707505
BERY,6546.482999999999
BF/A,34139.56561089
BF/B,34139.56561089
BFAM,3633.702548125
BFS,993.32004582
BG,13780.20180096
BGCP,2014.8303542500003
BGFV,256.7933322
BGNE,17428.84333489849
BGS,1327.9600150039998
BH,388.82364304
BHB,436.123634
BHE,908.34728427
BHF,3494.63312688
BHLB,1344.5414336000001
BHR,373.0154841
BHVN,10821.47487328
BIDU,42872.45214791
BIG,577.3907055
BIIB,30258.392108252
BIO,13445.901599765
BJRI,652.0250086
BK,35467.65045747
BKD,984.35781428
BKE,1685.68837115
BKH,4977.958414909999
BKI,10423.5049324
BKNG,74841.473023992
BKR,24317.665690010002
BKU,2980.14899561
BL,3849.7376556
BLBD,318.00736623
BLD,5592.4646088
BLDR,8890.04458816
BLFS,940.08011934
BLK,95480.62902663751
BLKB,2413.9228688000003
BLMN,1825.23227432
BLNK,1106.15964663
BLUE,449.23419957500005
BMI,2753.1935645099998
BMRC,500.16325302
BMRN,16227.10862383
BMY,149361.0983021
BNED,128.514288445
BNFT,228.70016736000002
BOH,3229.08892404
BOKF,6294.43144415
BOOM,364.78503875999996
BOOT,1912.3825377599999
BOX,3701.7531098100003
BPMC,4122.4419171
BPOP,5937.85659036
BR,19185.97858128
BRC,2171.22420831
BRK/A,608687.1282115
BRK/B,608687.1282115
BRKL,985.38923295
BRKR,7737.258551609999
BRO,17339.86757391
BRT,414.16739429999996
BRX,6357.47817444
BSET,166.9157505
BSIG,704.582704275
BSM,3287.6072709
BSRR,313.29358188000003
BSX,58782.083691780004
BTU,3015.4245
BURL,9059.177204070002
BUSE,1307.279118525
BW,698.9427311999999
BWA,8833.804244899999
BWXT,4797.943032200001
BX,111462.87935989001
BXC,617.080656
BXMT,4923.28768659
BXP,12924.341712799998
BY,814.20497964
BYD,5610.28738766
BYRN,136.31037026
BYSI,50.21830938
BZH,380.93175329999997
C,92865.22642285
CABO,6014.508072580001
CAC,662.23032384
CACC,6332.6004351244
CACI,6483.7849182
CADE,4904.57280768
CAG,16370.188283540001
CAH,18412.297873659998
CAKE,1693.24787274
CAL,922.7260749
CALM,2798.65790379
