ETF_TICKER,ETF_NAME,INDEX_NAME,CAPE,FWD_RETURN_5Y_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,INDEX_TICKER
IMCB,iShares Morningstar Mid-Cap ETF,Russell Midcap real-time,23.39,0.0618,-0.0139,0.1374,RMC
IWR,iShares Russell Mid-Cap ETF,Russell Midcap real-time,23.39,0.0618,-0.0139,0.1374,RMC
JHMM,John Hancock Multi-Factor Mid Cap ETF,Russell Midcap real-time,23.39,0.0618,-0.0139,0.1374,RMC
VO,Vanguard Mid-Cap ETF,Russell Midcap real-time,23.39,0.0618,-0.0139,0.1374,RMC
IWS,iShares Russell Mid-Cap Value ETF,Russell Midcap Value,19.54,0.0423,-0.0508,0.1355,RMV
IWM,iShares Russell 2000 ETF,Russell 2000,19.27,0.1025,0.0283,0.1774,RTY
VTWO,Vanguard Russell 2000 ETF,Russell 2000,19.27,0.1025,0.0283,0.1774,RTY
IWN,iShares Russell 2000 Value ETF,Russell 2000 Value,15.05,0.0999,0.0209,0.1781,RUJ
VTWV,Vanguard Russell 2000 Value,Russell 2000 Value,15.05,0.0999,0.0209,0.1781,RUJ
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,S&P 600 Consumer Discretionary Sector,12.89,0.2207,0.1059,0.3356,S6COND
PSCT,Invesco S&P SmallCap Information Technology ETF,S&P 600 Information Technology Sector,35.1,0.0677,-0.036,0.1717,S6INFT
XOUT,GraniteShares XOUT US Large Cap ETF,S&P 500 Growth,40.48,0.0466,-0.0842,0.1769,SGX
IJR,iShares Core S&P Small-Cap ETF,S&P Small Cap 600,17.98,0.1736,0.1051,0.2411,SML
FYX,First Trust Small Cap Core AlphaDEX Fund,S&P Small Cap 600,17.98,0.1736,0.1051,0.2411,SML
SLY,SPDR S&P 600 Small CapETF,S&P Small Cap 600,17.98,0.1736,0.1051,0.2411,SML
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,S&P Small Cap 600,17.98,0.1736,0.1051,0.2411,SML
VIOO,Vanguard S&P Small-Cap 600 ETF,S&P Small Cap 600,17.98,0.1736,0.1051,0.2411,SML
IJT,iShares S&P Small-Cap 600 Growth ETF,S&P Small Cap 600 Growth,24.16,0.1787,0.1059,0.2528,SMLG
SLYG,SPDR S&P 600 Small Cap Growth ETF,S&P Small Cap 600 Growth,24.16,0.1787,0.1059,0.2528,SMLG
VIOG,Vanguard S&P Small-Cap 600 Growth ETF,S&P Small Cap 600 Growth,24.16,0.1787,0.1059,0.2528,SMLG
IJS,iShares S&P Small-Cap 600 Value ETF,S&P Small Cap 600 Value,14.97,0.1549,0.0903,0.2197,SMLV
SLYV,SPDR S&P 600 Small CapValue ETF,S&P Small Cap 600 Value,14.97,0.1549,0.0903,0.2197,SMLV
VIOV,Vanguard S&P Small-Cap 600 Value ETF,S&P Small Cap 600 Value,14.97,0.1549,0.0903,0.2197,SMLV
SMH,VanEck Semiconductor ETF,Philadelphia Stock Exchange Semiconductor,32.94,0.0865,-0.1255,0.2963,SOX
SOXX,iShares Semiconductor ETF,Philadelphia Stock Exchange Semiconductor,32.94,0.0865,-0.1255,0.2963,SOX
XHB,SPDR S&P Homebuilders ETF,S&P Homebuilding Select Industry,19.98,0.0394,-0.2199,0.2988,SPSIHO
XME,SPDR S&P Metals & Mining ETF,S&P Metals and Mining Select Industry,16.36,0.0251,-0.2601,0.3096,SPSIMM
SSPY,Syntax Stratified Large Cap ETF,S&P 500 Equal Weighted,22.07,0.0557,-0.0072,0.1184,SPW
ESGU,iShares ESG Aware MSCI USA ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
BBUS,JPMorgan BetaBuilders US Equity ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
ILCB,iShares Morningstar US Equity ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
GSUS,Goldman Sachs MarketBeta US Equity ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
ITOT,iShares Core S&P Total US Stock Market ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IVV,iShares Core S&P 500 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IWB,iShares Russell 1000 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IWL,iShares Russell Top 200 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
JUST,Goldman Sachs JUST US Large Cap Equity ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IYY,iShares Dow Jones U.S. ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IWV,iShares Russell 3000 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
JHML,John Hancock Multi-Factor Large Cap ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
OVL,Overlay Shares Large Cap Equity ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SCHK,Schwab 1000 Index ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SCHX,Schwab US Large-Cap ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SNPE,Xtrackers S&P 500 ESG ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SPLG,SPDR Portfolio S&P 500 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SPY,SPDR S&P 500 ETF Trust,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
VTI,Vanguard Total Stock Market ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
VV,Vanguard Large-Cap ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
SCHB,Schwab US Broad Market ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
VONE,Vanguard Russell 1000,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
VOO,Vanguard S&P 500 ETF,S&P 500 INDEX,27.14,0.0176,-0.093,0.127,SPX
IUSV,iShares Core S&P U.S. Value ETF,S&P 500 Value,21.22,-0.0239,-0.1113,0.0638,SVX
IVE,iShares S&P 500 Value ETF,S&P 500 Value,21.22,-0.0239,-0.1113,0.0638,SVX
SPYV,SPDR Portfolio S&P 500 Value ETF,S&P 500 Value,21.22,-0.0239,-0.1113,0.0638,SVX
VOOV,Vanguard S&P 500 Value ETF,S&P 500 Value,21.22,-0.0239,-0.1113,0.0638,SVX
