TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
VUG,Vanguard Growth ETF,Russell 3000 Growth,43.88,0.0051,-0.1222,0.1314,0.0,RAG,14.439999999999998,101.67000000000004,0.4761
IWP,iShares Russell Mid-Cap Growth ETF,Russell Midcap Growth,38.02,0.0646,-0.0371,0.1667,0.0,RDG,15.479999999999999,63.92999999999999,0.3673
VOT,Vanguard Mid-Cap Growth ETF,Russell Midcap Growth,38.02,0.0646,-0.0371,0.1667,0.0,RDG,15.479999999999999,63.92999999999999,0.3673
IWF,iShares Russell 1000 Growth ETF,Russell 1000 Growth,44.9,-0.0001,-0.1322,0.1309,0.0,RLG,14.339999999999998,105.36000000000003,0.4988
MGK,Vanguard Mega Cap Growth ETF,Russell 1000 Growth,44.9,-0.0001,-0.1322,0.1309,0.0,RLG,14.339999999999998,105.36000000000003,0.4988
SCHG,Schwab U.S. Large-Cap Growth ETF,Russell 1000 Growth,44.9,-0.0001,-0.1322,0.1309,0.0,RLG,14.339999999999998,105.36000000000003,0.4988
TMFC,Motley Fool 100 Index ETF,Russell 1000 Growth,44.9,-0.0001,-0.1322,0.1309,0.0,RLG,14.339999999999998,105.36000000000003,0.4988
VONG,Vanguard Russell 1000 Growth ETF,Russell 1000 Growth,44.9,-0.0001,-0.1322,0.1309,0.0,RLG,14.339999999999998,105.36000000000003,0.4988
IWD,iShares Russell 1000 Value ETF,Russell 1000 Value,18.55,0.0287,-0.0571,0.1152,0.0,RLV,8.289999999999997,25.82,0.4228
SCHV,Schwab U.S. Large-Cap Value ETF,Russell 1000 Value,18.55,0.0287,-0.0571,0.1152,0.0,RLV,8.289999999999997,25.82,0.4228
VONV,Vanguard Russell 1000 Value,Russell 1000 Value,18.55,0.0287,-0.0571,0.1152,0.0,RLV,8.289999999999997,25.82,0.4228
IMCB,iShares Morningstar Mid-Cap ETF,Russell Midcap real-time,21.84,0.0785,0.0032,0.1542,0.0,RMC,10.4,28.520000000000007,0.5544
IWR,iShares Russell Mid-Cap ETF,Russell Midcap real-time,21.84,0.0785,0.0032,0.1542,0.0,RMC,10.4,28.520000000000007,0.5544
JHMM,John Hancock Multi-Factor Mid Cap ETF,Russell Midcap real-time,21.84,0.0785,0.0032,0.1542,0.0,RMC,10.4,28.520000000000007,0.5544
VO,Vanguard Mid-Cap ETF,Russell Midcap real-time,21.84,0.0785,0.0032,0.1542,0.0,RMC,10.4,28.520000000000007,0.5544
IWS,iShares Russell Mid-Cap Value ETF,Russell Midcap Value,17.73,0.0632,-0.0295,0.1551,0.0,RMV,7.909999999999999,23.230000000000004,0.4499
IWM,iShares Russell 2000 ETF,Russell 2000,17.51,0.129,0.0552,0.2023,0.0,RTY,11.809999999999999,27.940000000000005,0.6147
VTWO,Vanguard Russell 2000 ETF,Russell 2000,17.51,0.129,0.0552,0.2023,0.0,RTY,11.809999999999999,27.940000000000005,0.6147
IWN,iShares Russell 2000 Value ETF,Russell 2000 Value,13.1,0.1393,0.0611,0.2164,0.0,RUJ,9.689999999999998,23.470000000000002,0.6012
VTWV,Vanguard Russell 2000 Value,Russell 2000 Value,13.1,0.1393,0.0611,0.2164,0.0,RUJ,9.689999999999998,23.470000000000002,0.6012
